2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
4.500	Engrave by means of dots.	engrave by means of dots and flicks.
4.750	have a strong desire to do something	have a strong desire or urge to do something.
4.500	be relevant or pertinent	be pertinent or relevant or applicable.
4.000	indicate contempt by breathing noisily and    forcefully through the news	indicate contempt by breathing noisily and forcefully through the nose.
5.000	become aware of through the senses	to become aware of through the senses.
4.500	cause to be alert or energetic	cause to be alert and energetic.
4.500	Remove by erasing or crossing out, as if by    drawing a line through.	remove by erasing or crossing out or as if by drawing a line.
5.000	cook slowly for a long time in liquid	cook slowly and for a long time in liquid.
3.750	the temperature at which a liquid boils, bubbles	the temperature at which a liquid boils at sea level.
3.750	Make a map of; show or establish the    features or details of; explore or survey for the purposes of making a    map.	make a map of; show or establish the features of details of.
5.000	The social force that binds one to the courses of action demanded by that force.	the social force that binds you to the courses of action demanded by that force.
4.250	Avoid or try to avoid fulfilling,          answering, or performing.	avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues).
4.750	Lead someone in the wrong direction  (physically); give wrong spatial directions.	lead someone in the wrong direction or give someone wrong directions.
4.250	maintain, assert, or claim	maintain or assert.
4.500	Improve by restoring to a previous or better condition.	restore to a previous or better condition.
4.750	make accessible to some action, influence, or condition	expose or make accessible to some action or influence.
4.000	Approach a limit as the number of terms          increases without limit; specifically a mathematical term.	approach a limit as the number of terms increases without limit.
5.000	The stiching that forms the rim of a shoe or boot.	the stitching that forms the rim of a shoe or boot.
4.750	put under the control of the federal government	put under the control and authority of a federal government.
5.000	Manual stimulation fo the genital area for sexual pleasure.	manual stimulation of the genital area for sexual pleasure.
4.250	equip with a fuse	equip with a fuse; provide with a fuse.
4.750	end of the American Revolution	the successful ending of the American Revolution.
5.000	(mathematics) The smallest whole number or a numeral representing this number.	the smallest whole number or a numeral representing this number.
4.500	stimulating or demanding factors of a situation	a demanding or stimulating situation.
4.500	A physical portion of all or part of a natural object that is collected and preserved as an example of its class or total.	all or part of a natural object that is collected and preserved as an example of its class.
5.000	Amplify an electron current by causing part          of the power on the output circuit to act upon the input circuit.	amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit.
3.250	A human utters words loudly and forcefully.	utter words loudly and forcefully.
5.000	oppose with equal weight or force	contrast with equal weight or force.
5.000	(Cause to) strike the air in flight.	strike the air in flight.
5.000	Preserve in a tin or jar.	preserve in a can or tin.
5.000	a chain of atoms in a molecule forming a closed loop	(chemistry) a chain of atoms in a molecule that forms a closed loop.
5.000	make the surface level or smooth	make the surface of level or smooth.
4.750	Impress or affect deeply (emotionally).	impress or affect deeply.
4.750	Supply with a constant flow of some liquid,          for the purpose of cooling, cleansing, or disinfecting.	supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting.
4.750	apply a thin coating of paint/metal	apply a thin coating of paint, metal, etc., to.
4.250	disregard, fail to attend to	fail to attend to.
4.000	make a short, sharp sound	make a sharp sound.
4.750	connect or fasten into a chain by linking	connect or arrange into a chain by linking.
4.500	beat thoroughly in a competition or fight	beat thoroughly and conclusively in a competition or fight.
5.000	Look through a book or some other written    material (for information).	look through a book or other written material.
5.000	state of being active	the state of being active.
5.000	(theology) the act of deliving from sin or saving from evil.	(theology) the act of delivering from sin or saving from evil.
4.250	declare or make unfit or unsuitable	make unfit or unsuitable.
4.000	Cook on a hot surface using fat; cook in oil.	cook on a hot surface using fat.
4.500	Improve by pruning or polishing	improve or perfect by pruning or polishing.
4.500	An area that is central within some larger region.	an area that is approximately central within some larger region.
5.000	start suddenly, as if from fright	start suddenly, as from fright.
3.750	Be larger in number, quantity, power,          status, or importance, without personally having sovereign power.	be larger in number, quantity, power, status or importance.
